"filename", "language", "JavaScript", "C++", "XML", "CMake", "Markdown", "GLSL", "Lua", "C", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\src\element\text.cpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 3, 2, 14
"c:\ws-code\ws-kwik\kwik-ui\src\element\textarea.cpp", "C++", 0, 308, 0, 0, 0, 0, 0, 0, 56, 3, 367
"c:\ws-code\ws-kwik\kwik-ui\src\element\view.cpp", "C++", 0, 131, 0, 0, 0, 0, 0, 0, 22, 12, 165
"c:\ws-code\ws-kwik\kwik-ui\src\engine\bindings.cpp", "C++", 0, 43, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\ws-code\ws-kwik\kwik-ui\src\engine\quickjs_context.cpp", "C++", 0, 14, 0, 0, 0, 0, 0, 0, 2, 0, 16
"c:\ws-code\ws-kwik\kwik-ui\src\engine\quickjs_runtime.cpp", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\ws-code\ws-kwik\kwik-ui\src\event\event.cpp", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 1, 2, 9
"c:\ws-code\ws-kwik\kwik-ui\src\layout\radio_group.cpp", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 39, 0, 63
"c:\ws-code\ws-kwik\kwik-ui\src\layout\stack_layout.cpp", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 3, 0, 25
"c:\ws-code\ws-kwik\kwik-ui\src\platform\window_win32.cpp", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 3
"c:\ws-code\ws-kwik\kwik-ui\src\render\command.cpp", "C++", 0, -12, 0, 0, 0, 0, 0, 0, 7, -24, -29
"c:\ws-code\ws-kwik\kwik-ui\src\render\font.cpp", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 6, 3, 13
"c:\ws-code\ws-kwik\kwik-ui\src\render\graphics.cpp", "C++", 0, -11, 0, 0, 0, 0, 0, 0, 2, -2, -11
"c:\ws-code\ws-kwik\kwik-ui\src\render\render_thread.cpp", "C++", 0, -33, 0, 0, 0, 0, 0, 0, -5, -12, -50
"c:\ws-code\ws-kwik\kwik-ui\src\render\software_backend.cpp", "C++", 0, -79, 0, 0, 0, 0, 0, 0, -14, -22, -115
"c:\ws-code\ws-kwik\kwik-ui\src\render\vulkan\vulkan_backend.cpp", "C++", 0, 137, 0, 0, 0, 0, 0, 0, 9, 5, 151
"c:\ws-code\ws-kwik\kwik-ui\src\render\vulkan\vulkan_clip_manager.cpp", "C++", 0, 58, 0, 0, 0, 0, 0, 0, 0, 2, 60
"c:\ws-code\ws-kwik\kwik-ui\src\render\vulkan\vulkan_context.cpp", "C++", 0, 782, 0, 0, 0, 0, 0, 0, 82, 49, 913
"c:\ws-code\ws-kwik\kwik-ui\src\render\vulkan\vulkan_glyph_renderer.cpp", "C++", 0, 389, 0, 0, 0, 0, 0, 0, 27, 1, 417
"c:\ws-code\ws-kwik\kwik-ui\src\render\vulkan\vulkan_image_renderer.cpp", "C++", 0, 443, 0, 0, 0, 0, 0, 0, 28, 3, 474
"c:\ws-code\ws-kwik\kwik-ui\src\render\vulkan\vulkan_rect_renderer.cpp", "C++", 0, 299, 0, 0, 0, 0, 0, 0, 20, 2, 321
"c:\ws-code\ws-kwik\kwik-ui\src\render\vulkan_backend.cpp", "C++", 0, -1296, 0, 0, 0, 0, 0, 0, -144, -27, -1467
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\AI_POLICY.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 8, 30
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\CMakeLists.txt", "CMake", 0, 0, 0, 59, 0, 0, 0, 0, 0, 16, 75
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\README.md", "Markdown", 0, 0, 0, 0, 78, 0, 0, 0, 0, 35, 113
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\example\23.svg", "XML", 0, 0, 729, 0, 0, 0, 0, 0, 0, 2, 731
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\example\drawing.svg", "XML", 0, 0, 95, 0, 0, 0, 0, 0, 1, 2, 98
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\example\example1.c", "C", 0, 0, 0, 0, 0, 0, 0, 198, 24, 37, 259
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\example\example2.c", "C", 0, 0, 0, 0, 0, 0, 0, 43, 17, 10, 70
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\example\nano.svg", "XML", 0, 0, 26, 0, 0, 0, 0, 0, 1, 1, 28
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\example\stb_image_write.h", "C++", 0, 388, 0, 0, 0, 0, 0, 0, 73, 51, 512
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\premake4.lua", "Lua", 0, 0, 0, 0, 0, 0, 42, 0, 0, 15, 57
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\src\nanosvg.h", "C++", 0, 2712, 0, 0, 0, 0, 0, 0, 195, 371, 3278
"c:\ws-code\ws-kwik\kwik-ui\third_party\nanosvg\src\nanosvgrast.h", "C++", 0, 1098, 0, 0, 0, 0, 0, 0, 164, 211, 1473
"Total", "-", 1142, 7465, 857, 103, -28, 23, 42, 241, 1367, 998, 12210
